Date,TaskTime,Instrument,AlgoName,OpenClose,BuySell,task_volume,Position,start_price,end_price,market_volume
20140102, 09:40:00, cu1403, XPort03_P2, Open, Buy,99,99,52480.0,52490.0,302256
20140102, 09:40:00, y1405, XPort03_P2, Open, Buy,380,380,6914.0,6906.0,430684
20140102, 09:50:00, l1405, XPort03_P2, Open, Sell,468,-468,11035.0,11035.0,303708
20140102, 10:30:00, cu1403, XPort03_P2, Close, Sell,23,76,52450.0,52420.0,302256
20140102, 10:30:00, y1405, XPort03_P2, Close, Sell,88,292,6906.0,6900.0,430684
20140102, 10:30:00, OI1405, XPort03_P2, Open, Buy,285,285,7094.0,7092.0,163206
20140102, 10:30:00, MA1405, XPort03_P2, Open, Sell,134,-134,2937.0,2937.0,105716
20140102, 10:55:00, l1405, XPort03_P2, Close, Buy,168,-300,11055.0,11050.0,303708
20140102, 10:55:00, ag1406, XPort03_P2, Open, Buy,271,271,4203.0,4202.0,2712884
20140102, 13:55:00, cu1403, XPort03_P2, Close, Sell,22,54,52620.0,52620.0,302256
20140102, 13:55:00, y1405, XPort03_P2, Close, Sell,83,209,6884.0,6884.0,430684
20140102, 13:55:00, OI1405, XPort03_P2, Close, Sell,82,203,7048.0,7048.0,163206
20140102, 13:55:00, MA1405, XPort03_P2, Close, Buy,38,-96,2931.0,2923.0,105716
20140102, 13:55:00, FG1405, XPort03_P2, Open, Sell,554,-554,1281.0,1284.0,485552
20140102, 14:20:00, l1405, XPort03_P2, Close, Buy,300,0,11085.0,11070.0,303708
20140102, 14:50:00, cu1403, XPort03_P2, Open, Buy,10,64,52710.0,52710.0,302256
20140102, 14:50:00, y1405, XPort03_P2, Open, Buy,34,243,6908.0,6908.0,430684
20140102, 14:50:00, OI1405, XPort03_P2, Open, Buy,33,236,7070.0,7064.0,163206
20140102, 14:50:00, MA1405, XPort03_P2, Open, Sell,16,-112,2907.0,2916.0,105716
20140102, 14:50:00, FG1405, XPort03_P2, Open, Sell,91,-645,1281.0,1282.0,485552
20140103, 21:00:00, cu1403, XPort03_P2, Close, Sell,64,0,52670.0,52440.0,203778
20140103, 21:00:00, ag1406, XPort03_P2, Close, Sell,271,0,4213.0,4201.0,1602996
20140103, 22:10:00, cu1403, XPort03_P2, Open, Sell,99,-99,52330.0,52340.0,203778
20140103, 00:50:00, au1406, XPort03_P2, Open, Buy,106,106,244.449997,244.399994,118110
20140103, 09:00:00, y1405, XPort03_P2, Close, Sell,243,0,6922.0,6870.0,465014
20140103, 09:00:00, OI1405, XPort03_P2, Close, Sell,236,0,7068.0,7030.0,189622
20140103, 09:00:00, MA1405, XPort03_P2, Close, Buy,112,0,2916.0,2890.0,128996
20140103, 09:00:00, FG1405, XPort03_P2, Close, Buy,645,0,1281.0,1279.0,474004
20140103, 09:40:00, ru1405, XPort03_P2, Open, Sell,138,-138,17845.0,17850.0,354254
20140103, 09:40:00, y1405, XPort03_P2, Open, Sell,362,-362,6848.0,6870.0,465014
20140103, 09:50:00, cu1403, XPort03_P2, Close, Buy,23,-76,52170.0,52160.0,203778
20140103, 09:50:00, m1405, XPort03_P2, Open, Buy,596,596,3335.0,3337.0,921104
20140103, 10:00:00, cu1403, XPort03_P2, Close, Buy,22,-54,52130.0,52170.0,203778
20140103, 10:00:00, ru1405, XPort03_P2, Close, Buy,59,-79,17790.0,17815.0,354254
20140103, 10:00:00, m1405, XPort03_P2, Close, Sell,170,426,3336.0,3337.0,921104
20140103, 10:00:00, y1405, XPort03_P2, Close, Buy,155,-207,6864.0,6862.0,465014
20140103, 10:00:00, au1406, XPort03_P2, Close, Sell,48,58,245.100006,245.449997,118110
20140103, 10:00:00, rb1405, XPort03_P2, Open, Sell,398,-398,3555.0,3556.0,1019050
20140103, 10:00:00, j1405, XPort03_P2, Open, Sell,98,-98,1441.0,1442.0,413172
20140103, 10:35:00, jm1405, XPort03_P2, Open, Sell,209,-209,990.0,990.0,227108
20140103, 10:55:00, SR1405, XPort03_P2, Open, Sell,232,-232,4762.0,4762.0,161882
20140103, 11:05:00, cu1403, XPort03_P2, Close, Buy,16,-38,52150.0,52140.0,203778
20140103, 11:05:00, ru1405, XPort03_P2, Close, Buy,24,-55,17775.0,17770.0,354254
20140103, 11:05:00, m1405, XPort03_P2, Close, Sell,128,298,3337.0,3331.0,921104
20140103, 11:05:00, y1405, XPort03_P2, Close, Buy,62,-145,6862.0,6858.0,465014
20140103, 11:05:00, l1405, XPort03_P2, Open, Buy,180,180,11070.0,11070.0,312716
20140103, 11:05:00, au1406, XPort03_P2, Close, Sell,17,41,245.649994,245.600006,118110
20140103, 11:05:00, rb1405, XPort03_P2, Close, Buy,120,-278,3549.0,3549.0,1019050
20140103, 11:05:00, j1405, XPort03_P2, Close, Buy,29,-69,1435.0,1435.0,413172
20140103, 11:10:00, OI1405, XPort03_P2, Open, Sell,129,-129,7004.0,6994.0,189622
20140103, 11:10:00, jm1405, XPort03_P2, Close, Buy,57,-152,989.0,987.0,227108
20140103, 11:20:00, SR1405, XPort03_P2, Close, Buy,58,-174,4758.0,4757.0,161882
20140103, 11:20:00, RM1405, XPort03_P2, Open, Sell,315,-315,2622.0,2618.0,2447362
20140103, 11:25:00, cu1403, XPort03_P2, Close, Buy,9,-29,52100.0,52100.0,203778
20140103, 11:25:00, ru1405, XPort03_P2, Close, Buy,13,-42,17690.0,17695.0,354254
20140103, 11:25:00, m1405, XPort03_P2, Close, Sell,69,229,3332.0,3332.0,921104
